city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
gazanjyk,tm,161974.0,39.24,55.52,43.41,87.0,8.0,2.15,1553475220.0
aripuana,br,3665202.0,-9.17,-60.63,78.06,92.0,20.0,2.15,1553475066.0
praia,cv,3374333.0,14.92,-23.51,69.8,60.0,40.0,8.05,1553472000.0
manbij,sy,167357.0,36.53,37.96,41.0,48.0,0.0,11.41,1553473200.0
nantucket,us,4944903.0,41.28,-70.1,42.6,87.0,75.0,20.8,1553475155.0
tolland,us,4844273.0,41.87,-72.37,45.73,56.0,20.0,9.17,1553474961.0
puro,ph,1706889.0,13.13,123.76,74.37,99.0,88.0,4.27,1553475223.0
marsh harbour,bs,3571913.0,26.54,-77.06,73.65,100.0,76.0,15.46,1553475004.0
tongchuan,cn,7064006.0,34.9,108.95,44.6,52.0,0.0,2.24,1553472000.0
port hardy,ca,6111862.0,50.7,-127.42,51.8,71.0,20.0,5.82,1553472000.0
longyearbyen,sj,2729907.0,78.22,15.64,10.4,72.0,75.0,12.75,1553475000.0
katakwi,ug,231947.0,1.91,33.96,69.24,74.0,8.0,4.72,1553475226.0
ust-tsilma,ru,477940.0,65.44,52.15,33.51,83.0,92.0,7.74,1553475226.0
pangnirtung,ca,6096551.0,66.15,-65.72,15.6,70.0,76.0,30.89,1553475227.0
waingapu,id,1622318.0,-9.65,120.26,79.5,87.0,88.0,7.96,1553475228.0
vao,nc,2137773.0,-22.67,167.48,79.23,98.0,88.0,17.36,1553475228.0
hue,vn,1580240.0,16.47,107.58,71.6,94.0,75.0,4.7,1553472000.0
ilulissat,gl,3423146.0,69.22,-51.1,30.2,58.0,80.0,21.92,1553471400.0
yar-sale,ru,1486321.0,66.83,70.83,28.65,88.0,80.0,17.25,1553475001.0
anloga,gh,2304548.0,5.79,0.9,82.4,88.0,20.0,10.29,1553472000.0
diego de almagro,cl,3892454.0,-26.39,-70.05,65.37,78.0,0.0,2.48,1553475230.0
tripoli,ly,2210247.0,32.88,13.19,56.91,100.0,12.0,1.48,1553475230.0
komsomolskiy,ru,1486910.0,67.55,63.78,30.9,94.0,92.0,15.68,1553475057.0
lagoa,pt,2267254.0,37.14,-8.45,57.74,77.0,0.0,8.05,1553475130.0
namibe,ao,3347019.0,-15.19,12.15,76.89,100.0,0.0,8.41,1553475232.0
aykhal,ru,2027296.0,65.95,111.51,-13.84,39.0,0.0,2.71,1553475084.0
kosh-agach,ru,1502422.0,49.99,88.66,4.98,71.0,0.0,2.82,1553475233.0
half moon bay,us,5354943.0,37.46,-122.43,61.11,66.0,1.0,4.7,1553475194.0
mwinilunga,zm,902620.0,-11.73,24.43,63.84,95.0,44.0,2.04,1553475234.0
stornoway,gb,2636790.0,58.21,-6.39,42.8,70.0,80.0,18.34,1553473200.0
yulara,au,6355222.0,-25.24,130.99,80.6,44.0,64.0,18.34,1553472000.0
iskateley,ru,866062.0,67.68,53.15,29.55,92.0,88.0,13.44,1553475237.0
coquimbo,cl,3893629.0,-29.95,-71.34,57.2,87.0,75.0,8.05,1553472000.0
sri aman,my,1735799.0,1.24,111.46,78.8,94.0,40.0,2.15,1553472000.0
utevka,ru,477744.0,52.9,50.95,34.77,93.0,92.0,13.67,1553475238.0
saint-ambroise,ca,6137381.0,48.56,-71.32,15.35,40.0,5.0,5.82,1553475105.0
torbay,ca,6167817.0,47.66,-52.73,30.56,86.0,20.0,18.34,1553474905.0
makakilo city,us,5850554.0,21.35,-158.09,78.13,60.0,75.0,6.93,1553475014.0
abha,sa,110690.0,18.22,42.5,63.54,55.0,0.0,8.05,1553472000.0
montrose,us,5431710.0,38.48,-107.88,47.08,62.0,1.0,5.06,1553474917.0
vanimo,pg,2084442.0,-2.67,141.3,80.49,100.0,80.0,9.31,1553475241.0
vilhena,br,3924679.0,-12.74,-60.15,75.09,90.0,8.0,1.36,1553475241.0
qaqortoq,gl,3420846.0,60.72,-46.03,39.2,38.0,48.0,28.86,1553471400.0
oranjemund,na,3354071.0,-28.55,16.43,62.31,92.0,92.0,15.01,1553475242.0
kualakapuas,id,1639304.0,-3.01,114.39,78.8,94.0,20.0,2.24,1553472000.0
devils lake,us,5058868.0,48.11,-98.87,21.2,85.0,1.0,8.05,1553474100.0
muros,es,3115824.0,42.77,-9.06,55.02,61.0,0.0,4.7,1553475166.0
narsaq,gl,3421719.0,60.91,-46.05,39.2,38.0,92.0,28.86,1553471400.0
albert,fr,3038271.0,50.0,2.65,40.32,93.0,0.0,8.05,1553475194.0
san rafael,ar,3836669.0,-34.61,-68.33,57.45,31.0,20.0,5.95,1553475245.0
novobelokatay,ru,519027.0,55.7,58.96,23.7,76.0,20.0,7.74,1553475245.0
tabou,ci,2281120.0,4.42,-7.36,84.27,94.0,44.0,11.21,1553475246.0
guerrero negro,mx,4021858.0,27.97,-114.04,69.15,50.0,12.0,13.11,1553475246.0
san ramon,bo,3905088.0,-13.27,-64.62,79.05,85.0,8.0,3.38,1553475247.0
panjab,af,1131162.0,34.38,67.02,1.65,55.0,0.0,1.81,1553475247.0
olimpia,br,3455923.0,-20.74,-48.91,80.6,51.0,0.0,3.36,1553472000.0
bonthe,sl,2409914.0,7.53,-12.5,80.76,82.0,44.0,4.05,1553475248.0
santa vitoria,br,3662927.0,-7.82,-67.03,81.03,87.0,48.0,2.59,1553475248.0
maldonado,uy,3441894.0,-34.91,-54.96,62.6,67.0,75.0,27.51,1553472000.0
moron,mn,2029947.0,47.38,110.32,17.85,66.0,0.0,2.71,1553475250.0
college,us,5859699.0,64.86,-147.8,49.73,45.0,75.0,2.71,1553475114.0
shieli,kz,1524801.0,44.18,66.74,39.45,84.0,8.0,2.71,1553475250.0
broome,au,2075720.0,-17.97,122.23,84.2,79.0,20.0,6.93,1553472000.0
husavik,is,2629833.0,66.04,-17.34,30.2,86.0,75.0,4.7,1553472000.0
naze,jp,1855540.0,28.37,129.48,64.4,68.0,75.0,8.05,1553472000.0
port hedland,au,2063042.0,-20.31,118.58,80.6,83.0,90.0,25.28,1553473560.0
vanderhoof,ca,6173361.0,54.02,-124.02,43.41,60.0,80.0,3.27,1553475252.0
gaoyou,cn,1810309.0,32.79,119.43,57.31,65.0,32.0,3.0,1553475213.0
katherine,au,2068655.0,-14.47,132.26,86.0,74.0,75.0,10.29,1553472180.0
hamilton,bm,3573197.0,32.3,-64.78,60.89,59.0,75.0,3.36,1553475116.0
sigli,id,1213821.0,5.38,95.96,75.63,100.0,88.0,5.61,1553475254.0
fuxin,cn,2037346.0,42.02,121.65,44.85,39.0,8.0,3.71,1553475254.0
fairbanks,us,5861897.0,64.84,-147.72,49.42,45.0,75.0,2.71,1553475008.0
guangyuan,cn,1806466.0,32.43,105.86,50.0,71.0,36.0,2.15,1553475200.0
inuvik,ca,5983607.0,68.36,-133.71,35.6,51.0,40.0,2.24,1553472000.0
cap malheureux,mu,934649.0,-19.98,57.61,78.57,83.0,75.0,11.41,1553474939.0
kununurra,au,2068110.0,-15.77,128.74,89.6,59.0,0.0,8.05,1553472000.0
hovd,mn,1516048.0,48.01,91.64,15.78,57.0,12.0,3.38,1553475257.0
ponta delgada,pt,3372783.0,37.73,-25.67,55.98,82.0,20.0,12.75,1553475235.0
olinda,br,3456160.0,-22.82,-43.41,80.2,74.0,20.0,8.05,1553475054.0
najran,sa,103630.0,17.54,44.22,73.4,31.0,0.0,6.51,1553472000.0
uglegorsk,ru,2120261.0,49.08,142.06,20.64,74.0,0.0,1.92,1553475258.0
sinnamary,gf,3380290.0,5.38,-52.96,80.4,92.0,68.0,12.1,1553475259.0
camargo,bo,3922451.0,-20.64,-65.21,51.15,72.0,8.0,3.04,1553475259.0
suhbaatar,mn,2029156.0,50.23,106.21,22.62,82.0,48.0,2.93,1553475259.0
zhigansk,ru,2012530.0,66.77,123.37,-2.14,71.0,0.0,6.17,1553475260.0
talnakh,ru,1490256.0,69.49,88.39,18.57,91.0,92.0,11.65,1553475260.0
terrace bay,ca,6162951.0,48.78,-87.1,22.44,100.0,0.0,11.43,1553474985.0
mount isa,au,2065594.0,-20.73,139.49,84.2,66.0,75.0,19.46,1553472000.0
gorokhovets,ru,559459.0,56.21,42.68,32.0,91.0,90.0,4.47,1553472000.0
makungu,tz,155093.0,-8.74,35.29,66.81,95.0,80.0,1.36,1553475262.0
chunoyar,ru,1507638.0,57.45,97.32,22.35,69.0,76.0,6.17,1553475262.0
puerto colombia,co,3671497.0,10.99,-74.96,78.89,83.0,0.0,18.34,1553474766.0
udachnyy,ru,2014624.0,66.42,112.4,-11.68,54.0,0.0,2.37,1553475263.0
tahoua,ne,2439376.0,14.89,5.26,74.64,29.0,8.0,8.97,1553475264.0
lompoc,us,5367788.0,34.64,-120.46,63.03,63.0,1.0,12.75,1553475227.0
raudeberg,no,3146487.0,61.99,5.14,36.23,93.0,88.0,3.36,1553475004.0
zhukovka,ru,508101.0,55.51,37.29,32.0,93.0,40.0,6.71,1553474509.0
palora,ec,3653523.0,-1.7,-77.97,63.57,100.0,80.0,1.7,1553475265.0
ugoofaaru,mv,1337619.0,5.67,73.0,83.37,100.0,0.0,11.43,1553475203.0
lakhdenpokhya,ru,537147.0,61.52,30.2,30.99,81.0,80.0,12.77,1553475112.0
bilma,ne,2446796.0,18.69,12.92,73.47,17.0,36.0,13.56,1553475266.0
ketchikan,us,5554428.0,55.34,-131.65,52.45,57.0,1.0,14.99,1553471760.0
terenos,br,3446619.0,-20.44,-54.87,77.0,61.0,0.0,5.82,1553472000.0
caldas novas,br,3468100.0,-17.75,-48.62,67.53,96.0,44.0,2.82,1553475268.0
okhotsk,ru,2122605.0,59.36,143.24,24.51,75.0,24.0,4.83,1553475268.0
yumen,cn,1528998.0,40.29,97.04,29.1,49.0,0.0,8.41,1553475269.0
ixtapa,mx,4004293.0,20.71,-105.21,77.95,78.0,5.0,11.41,1553475018.0
mayor pablo lagerenza,py,3867427.0,-19.93,-60.77,74.28,90.0,68.0,3.6,1553475270.0
cedar city,us,5536630.0,37.68,-113.06,55.74,32.0,1.0,10.29,1553474717.0
whitehorse,ca,6180550.0,60.72,-135.06,47.95,27.0,20.0,14.99,1553475164.0
grand gaube,mu,934479.0,-20.01,57.66,78.55,83.0,75.0,11.41,1553474939.0
neftegorsk,ru,522945.0,52.8,51.16,34.77,93.0,92.0,13.67,1553475272.0
amga,ru,2027786.0,60.89,131.98,7.23,66.0,44.0,4.16,1553475272.0
beringovskiy,ru,2126710.0,63.05,179.32,31.98,100.0,80.0,7.74,1553475015.0
hun,ly,2216645.0,29.13,15.95,45.57,88.0,0.0,5.28,1553475273.0
ancud,cl,3899695.0,-41.87,-73.83,50.0,87.0,0.0,8.05,1553472000.0
corralillo,cu,3563317.0,22.98,-80.59,71.31,95.0,68.0,12.66,1553475273.0
sioux lookout,ca,6148373.0,50.1,-91.92,25.54,27.0,20.0,3.36,1553472000.0
kamariotissa,gr,736017.0,40.48,25.47,42.8,75.0,0.0,2.71,1553471400.0
pochutla,mx,3517970.0,15.74,-96.47,84.15,62.0,20.0,13.87,1553474701.0
halifax,ca,6324729.0,44.65,-63.58,39.65,48.0,40.0,9.17,1553475064.0
rocha,uy,3440777.0,-34.48,-54.34,62.94,66.0,64.0,17.47,1553475056.0
shimoda,jp,1852357.0,34.7,138.93,56.73,53.0,20.0,6.93,1553475186.0
sorong,id,1626542.0,-0.86,131.25,82.38,99.0,0.0,5.73,1553475276.0
matara,lk,1235846.0,5.95,80.54,74.82,100.0,0.0,7.96,1553475276.0
kulevcha,ua,705442.0,46.03,29.93,36.48,93.0,0.0,2.71,1553475277.0
luau,ao,876177.0,-10.71,22.22,63.93,97.0,64.0,2.26,1553475277.0
bosaso,so,64013.0,11.28,49.18,77.88,100.0,0.0,5.95,1553475277.0
carauari,br,3664659.0,-4.88,-66.9,79.68,91.0,20.0,1.59,1553475278.0
pevek,ru,2122090.0,69.7,170.27,0.75,92.0,48.0,10.98,1553475278.0
zhigalovo,ru,2012532.0,54.81,105.15,7.86,68.0,8.0,2.15,1553475279.0
ubaitaba,br,3445853.0,-14.31,-39.32,78.8,94.0,75.0,4.7,1553472000.0
pokhara,np,1282898.0,28.21,83.99,53.4,64.0,36.0,4.27,1553475116.0
kota kinabalu,my,1733432.0,5.98,116.07,82.54,79.0,75.0,6.93,1553472000.0
forio,it,3176748.0,40.73,13.86,53.17,87.0,0.0,6.93,1553475260.0
ngorongoro,tz,151610.0,-3.24,35.49,52.5,86.0,0.0,2.59,1553475281.0
srednekolymsk,ru,2121025.0,67.46,153.71,0.93,71.0,20.0,3.49,1553475083.0
elko,us,5703670.0,40.83,-115.76,44.85,42.0,40.0,6.93,1553474792.0
riyadh,sa,108410.0,24.63,46.72,77.0,41.0,75.0,10.29,1553472000.0
rehoboth,na,3353540.0,-23.31,17.08,60.33,49.0,32.0,2.59,1553475283.0
aklavik,ca,5882953.0,68.22,-135.01,35.6,51.0,40.0,2.24,1553472000.0
ewa beach,us,5855051.0,21.32,-158.01,78.15,60.0,75.0,6.93,1553475211.0
vila franca do campo,pt,3372472.0,37.72,-25.43,56.14,82.0,20.0,9.17,1553475055.0
camopi,gf,3382226.0,3.17,-52.33,74.37,95.0,80.0,3.15,1553475284.0
tiblawan,ph,1682393.0,6.48,126.11,78.42,100.0,68.0,6.73,1553475285.0
mutoko,zw,884927.0,-17.4,32.23,58.08,91.0,0.0,1.92,1553475285.0
ternate,id,1624041.0,0.8,127.4,82.29,100.0,8.0,6.73,1553475124.0
northam,au,2064550.0,-31.65,116.67,60.8,51.0,0.0,17.22,1553472000.0
wilmington,us,4145381.0,39.75,-75.55,53.28,34.0,1.0,5.82,1553475125.0
sabha,ly,2212775.0,27.03,14.43,53.13,62.0,0.0,7.52,1553475287.0
calahorra,es,3127065.0,42.3,-1.96,50.49,70.0,0.0,6.93,1553475004.0
korla,cn,1529376.0,41.76,86.15,45.68,90.0,24.0,3.27,1553475245.0
paita,pe,3694112.0,-5.09,-81.11,78.33,63.0,12.0,8.19,1553475288.0
cayenne,gf,3382160.0,4.94,-52.33,78.8,78.0,90.0,9.17,1553472000.0
oktyabrskoye,ru,1511846.0,56.73,85.44,26.38,79.0,40.0,4.47,1553475014.0
karratha,au,6620339.0,-20.74,116.85,76.71,89.0,100.0,31.79,1553475290.0
yakeshi,cn,2033536.0,49.28,120.73,20.01,40.0,8.0,17.92,1553475291.0
lorengau,pg,2092164.0,-2.02,147.27,82.47,99.0,68.0,8.97,1553475025.0
salta,ar,3838233.0,-24.79,-65.41,65.43,82.0,0.0,5.82,1553472000.0
zhanaozen,kz,607610.0,43.35,52.85,43.14,90.0,76.0,9.19,1553475293.0
baiyin,cn,1817240.0,36.55,104.13,26.6,45.0,0.0,4.47,1553472000.0
santa rosa,ar,3835994.0,-36.62,-64.29,62.94,43.0,8.0,6.96,1553475293.0
magnolia,us,4120323.0,33.27,-93.24,69.03,72.0,1.0,5.82,1553475171.0
villavieja,co,3665898.0,3.22,-75.22,84.2,66.0,40.0,6.93,1553472000.0
atambua,id,1651103.0,-9.11,124.89,81.21,100.0,44.0,3.94,1553475069.0
marawi,sd,370481.0,18.48,31.82,73.2,23.0,0.0,11.77,1553475295.0
rovaniemi,fi,638936.0,66.5,25.72,28.4,79.0,75.0,11.41,1553473200.0
ibanda,ug,232066.0,0.33,30.08,58.8,90.0,12.0,2.15,1553475296.0
kostomuksha,ru,543899.0,64.59,30.6,31.8,82.0,68.0,6.51,1553475297.0
nova olimpia,br,3456137.0,-14.8,-57.29,79.32,84.0,8.0,3.15,1553475297.0
strathroy,ca,6158027.0,42.96,-81.62,37.22,81.0,75.0,8.05,1553475257.0
wau,pg,2083653.0,-7.34,146.72,75.9,98.0,64.0,0.58,1553475298.0
escarcega,mx,3527795.0,18.61,-90.75,88.95,31.0,8.0,3.6,1553475298.0
calbuco,cl,3897334.0,-41.77,-73.13,51.8,76.0,0.0,9.17,1553472000.0
ilesha,ng,2326168.0,7.14,5.26,75.0,81.0,44.0,5.39,1553475299.0
lengshuitan,cn,1804162.0,26.41,111.6,47.82,100.0,56.0,2.37,1553475300.0
aksay,kz,610613.0,51.17,53.01,34.23,93.0,92.0,10.65,1553475300.0
yenagoa,ng,2318123.0,4.92,6.26,76.17,91.0,64.0,6.4,1553475092.0
hudson bay,ca,5978133.0,52.86,-102.4,27.66,55.0,0.0,2.71,1553475301.0
otane,nz,2185329.0,-39.89,176.62,78.01,53.0,0.0,11.01,1553475137.0
benguela,ao,3351663.0,-12.58,13.4,78.51,100.0,32.0,6.96,1553475302.0
cockburn town,tc,3576994.0,21.46,-71.14,77.88,100.0,88.0,18.81,1553475302.0
richards bay,za,962367.0,-28.77,32.06,73.11,85.0,36.0,9.75,1553475303.0
cabedelo,br,3404558.0,-6.97,-34.84,80.6,83.0,0.0,5.82,1553472000.0
vila do maio,cv,3374120.0,15.13,-23.22,69.8,60.0,40.0,8.05,1553472000.0
deogarh,in,1273246.0,21.53,84.72,60.51,73.0,0.0,2.26,1553475304.0
ust-kut,ru,2013923.0,56.78,105.75,-0.61,72.0,0.0,2.93,1553475304.0
shaunavon,ca,6145425.0,49.65,-108.41,36.93,63.0,92.0,11.54,1553475305.0
seoul,kr,1835848.0,37.57,126.98,40.57,64.0,90.0,2.24,1553473200.0
ahualulco,mx,4019085.0,22.4,-101.17,84.2,11.0,5.0,6.93,1553471160.0
racine,us,5268249.0,42.73,-87.78,34.7,80.0,90.0,17.22,1553475011.0
bontang,id,1648186.0,0.12,117.47,81.57,96.0,8.0,10.65,1553475306.0
sidi ali,dz,2487130.0,36.1,0.42,52.86,93.0,88.0,3.15,1553475307.0
torata,pe,3927158.0,-17.08,-70.84,48.63,60.0,36.0,1.92,1553475307.0
vredendal,za,3359736.0,-31.68,18.49,58.62,95.0,88.0,3.38,1553475308.0
kamenka,ru,553725.0,53.19,44.05,34.0,68.0,64.0,6.96,1553474502.0
morondava,mg,1058381.0,-20.3,44.28,78.15,98.0,0.0,4.61,1553475309.0
vostok,ru,2013279.0,46.45,135.83,30.36,89.0,88.0,2.93,1553475309.0
lingyuan,cn,2036075.0,41.24,119.4,35.22,54.0,0.0,7.74,1553475309.0
bonavista,ca,5905393.0,48.65,-53.11,32.0,86.0,0.0,18.99,1553474747.0
poltavka,ru,1494500.0,54.36,71.76,11.82,62.0,48.0,4.61,1553475310.0
kampot,kh,1831112.0,10.62,104.18,81.41,70.0,75.0,12.75,1553472000.0
yakovlevka,ru,2013176.0,44.43,133.47,38.64,84.0,0.0,3.38,1553475311.0
buraydah,sa,107304.0,26.33,43.97,75.2,73.0,20.0,17.22,1553472000.0
poum,nc,2138555.0,-20.23,164.02,80.76,100.0,44.0,12.21,1553475312.0
noumea,nc,2139521.0,-22.28,166.46,87.8,52.0,0.0,10.29,1553473800.0
macau,br,3395998.0,-5.11,-36.64,73.47,95.0,48.0,1.92,1553475314.0
lubao,cd,211098.0,-5.39,25.75,69.6,93.0,8.0,2.82,1553475314.0
nampa,us,5601933.0,43.57,-116.56,51.24,57.0,1.0,5.82,1553475304.0
umm kaddadah,sd,364933.0,13.6,26.69,76.71,16.0,0.0,12.44,1553475315.0
sur,om,286245.0,22.57,59.53,71.4,100.0,0.0,12.1,1553475316.0
sarkand,kz,1519691.0,45.41,79.91,40.17,91.0,92.0,2.93,1553475316.0
giresun,tr,746881.0,40.91,38.39,41.0,75.0,75.0,5.82,1553471400.0
wanning,cn,1791779.0,18.8,110.4,74.28,100.0,80.0,3.15,1553475317.0
sherlovaya gora,ru,2016735.0,50.53,116.31,14.07,31.0,0.0,11.32,1553475318.0
coromandel,nz,2192093.0,-36.76,175.5,75.56,53.0,0.0,12.75,1553475192.0
north bend,us,5742974.0,43.41,-124.22,55.47,66.0,1.0,5.82,1553475312.0
palu,id,1633034.0,-0.9,119.87,71.04,81.0,32.0,1.92,1553475313.0
salalah,om,286621.0,17.01,54.1,78.8,78.0,40.0,6.93,1553471400.0
guanambi,br,3461973.0,-14.22,-42.78,67.8,98.0,92.0,3.6,1553475320.0
hami,cn,1529484.0,42.84,93.51,32.07,49.0,0.0,5.28,1553475320.0
zeya,ru,2012593.0,53.74,127.27,15.51,74.0,64.0,3.15,1553475320.0
namwala,zm,901766.0,-15.75,26.45,67.44,78.0,0.0,7.29,1553475321.0
lerwick,gb,2644605.0,60.15,-1.15,42.8,98.0,80.0,20.8,1553473200.0
tazmalt,dz,2477537.0,36.39,4.4,51.8,93.0,36.0,11.41,1553472000.0
novobirilyussy,ru,1508260.0,56.95,90.69,25.23,89.0,88.0,4.16,1553475322.0
margate,za,978895.0,-30.86,30.37,75.27,90.0,64.0,10.76,1553475322.0
maromitsa,ru,529051.0,59.87,48.01,29.73,82.0,24.0,7.63,1553475323.0
sarakhs,ir,1159716.0,36.54,61.16,59.0,67.0,0.0,6.93,1553472000.0
akersberga,se,2727234.0,59.48,18.3,34.93,75.0,64.0,5.82,1553475182.0
rio grande,br,3451138.0,-32.03,-52.1,72.39,69.0,0.0,16.8,1553475325.0
agadir,ma,2561668.0,30.42,-9.58,75.2,31.0,0.0,18.34,1553473800.0
stromness,gb,2636638.0,58.97,-3.3,42.24,81.0,36.0,16.11,1553475043.0
anzio,it,6542092.0,41.45,12.63,48.88,93.0,75.0,2.24,1553475322.0
bud,no,7626370.0,62.91,6.91,35.04,74.0,24.0,21.92,1553475000.0
kuusankoski,fi,649919.0,60.91,26.62,26.65,74.0,0.0,6.93,1553475242.0
bridgewater,us,4931303.0,41.99,-70.98,47.39,42.0,75.0,9.17,1553475324.0
ushibuka,jp,1849154.0,32.19,130.02,50.43,95.0,80.0,4.16,1553475328.0
ahuimanu,us,5856516.0,21.44,-157.84,78.19,60.0,75.0,6.93,1553475211.0
california city,us,5332748.0,35.13,-117.99,64.6,27.0,1.0,4.7,1553475300.0
kangaatsiaq,gl,3422683.0,68.31,-53.46,21.36,96.0,56.0,18.59,1553475330.0
kindu,cd,212902.0,-2.95,25.92,70.86,98.0,76.0,2.37,1553475330.0
bogorodskoye,ru,2126638.0,52.37,140.44,19.38,57.0,44.0,2.93,1553475330.0
eden,us,4688222.0,31.22,-99.85,79.32,39.0,40.0,5.82,1553475087.0
valparaiso,cl,3868626.0,-33.04,-71.63,55.4,87.0,20.0,3.36,1553472000.0
lufilufi,ws,4035249.0,-13.87,-171.6,89.31,66.0,75.0,13.87,1553475182.0
gimli,ca,5961417.0,50.63,-96.99,25.05,40.0,0.0,5.01,1553475031.0
kapuskasing,ca,5989403.0,49.42,-82.43,19.4,31.0,5.0,9.17,1553472000.0
nouakchott,mr,2377450.0,18.08,-15.98,62.6,88.0,0.0,8.05,1553473800.0
ritchie,za,961226.0,-29.03,24.6,69.8,56.0,0.0,8.05,1553472000.0
zharkent,kz,1520253.0,44.17,80.0,21.45,77.0,0.0,4.72,1553475334.0
poya,nc,2138522.0,-21.35,165.16,80.4,97.0,0.0,10.87,1553475334.0
santa isabel,co,3668716.0,4.71,-75.1,73.4,100.0,90.0,3.36,1553472000.0
marsaxlokk,mt,2562247.0,35.84,14.54,54.59,87.0,0.0,6.93,1553475303.0
agdangan,ph,1732091.0,13.88,121.91,81.0,75.0,32.0,5.01,1553473819.0
uzwil,ch,2658209.0,47.44,9.13,43.43,81.0,40.0,1.12,1553475318.0
paracuru,br,3393115.0,-3.41,-39.03,80.87,83.0,40.0,3.36,1553475201.0
sylvan lake,ca,6160806.0,52.31,-114.09,33.8,93.0,90.0,10.29,1553472000.0
pareora,nz,2181133.0,-44.49,171.21,69.01,91.0,64.0,3.6,1553475322.0
saint-joseph,re,6690296.0,-21.37,55.62,74.73,69.0,0.0,5.82,1553474802.0
tambacounda,sn,2244991.0,13.77,-13.67,87.8,40.0,0.0,6.93,1553472000.0
pandan,ph,1695555.0,11.72,122.09,79.77,99.0,32.0,17.36,1553475338.0
tura,ru,2014833.0,64.27,100.22,3.0,71.0,64.0,2.26,1553475339.0
